name,category,link
Bisecting K-Means,Technology,https://en.wikipedia.org/wiki/Bisecting
Fuzzy C-means clustering,Technology,https://en.wikipedia.org/wiki/Fuzzy C-means
Gaussian Mixture Models,Technology,https://en.wikipedia.org/wiki/Gaussian Mixture Models
Hidden Markov Model (HMM),Technology,https://en.wikipedia.org/wiki/Hidden Markov Model
Dimensionality Reduction,Technology,https://en.wikipedia.org/wiki/Dimensionality Reduction
Principal Component Analysis (PCA),Technology,https://en.wikipedia.org/wiki/Principal Component Analysis
Oversampling PCA,Technology,https://en.wikipedia.org/wiki/Oversampling
Piecewise Aggregate Approximation (PAA),Technology,https://en.wikipedia.org/wiki/Piecewise
Adaptive Piecewise Constant Approximation (APCA),Technology,https://en.wikipedia.org/wiki/Adaptive
Quadratic Discriminant Analysis (QDA),Technology,https://en.wikipedia.org/wiki/Quadratic Discriminant Analysis
Forward Selection Component Analysis (FSCA),Technology,https://en.wikipedia.org/wiki/Forward Selection
Anomaly Detection,Technology,https://en.wikipedia.org/wiki/Anomaly Detection
One-class SVM (OCSVM),Technology,https://en.wikipedia.org/wiki/SVM
Isolation Forest,Technology,https://en.wikipedia.org/wiki/Isolation
Local Outlier Factor (LOF),Technology,https://en.wikipedia.org/wiki/Local Outlier Factor
Deep Learning,Technology,https://en.wikipedia.org/wiki/Deep Learning
Discriminative (Supervised),Technology,https://en.wikipedia.org/wiki/Discriminative
Deep Neural Networks (DNN),Technology,https://en.wikipedia.org/wiki/Deep Neural Networks
Convolutional Neural Network (CNN),Technology,https://en.wikipedia.org/wiki/Convolutional Neural Network
U-Net,Technology, 
PointNet,Technology, 
AlexNet,Technology, 
VGGNet,Technology, 
GoogleNet / Inception,Technology,https://en.wikipedia.org/wiki/GoogleNet
ResNets,Technology, 
SqueezeNet,Technology, 
Yolo v3,Technology,https://en.wikipedia.org/wiki/Yolo
Region-based Convolutional Neural Network (R-CNN),Technology,https://en.wikipedia.org/wiki/Convolutional Neural Network
DenseNet,Technology, 
1 Y-Net,Technology,https://en.wikipedia.org/wiki/Y-Net
Recurrent Neural Network (RNN),Technology,https://en.wikipedia.org/wiki/Recurrent Neural Network
Long short-term memory (LSTM),Technology,https://en.wikipedia.org/wiki/Long short-term memory
Gated Recurrent Unit (GRU),Technology,https://en.wikipedia.org/wiki/Gated
Binary Neural Networks (BNN),Technology,https://en.wikipedia.org/wiki/Binary
Hybrid Binary Neural Network (HBN),Technology,https://en.wikipedia.org/wiki/Hybrid
Generative (Unsupervised),Technology,https://en.wikipedia.org/wiki/Generative
Generative Adversarial Network (GAN),Technology,https://en.wikipedia.org/wiki/Generative
Self-Organizing Map (SOM)/Kohonen Map,Technology,https://en.wikipedia.org/wiki/Self-Organizing Map
Autoencoder (AE),Technology,https://en.wikipedia.org/wiki/Autoencoder
Denoising AE (DAE),Technology,https://en.wikipedia.org/wiki/Denoising
Hybrid Binary AutoEncoder (HBAE),Technology,https://en.wikipedia.org/wiki/Hybrid
Feed Forward Autoencoder (FF-AE),Technology,https://en.wikipedia.org/wiki/Feed Forward
Siamese Autoencoder,Technology,https://en.wikipedia.org/wiki/Siamese
Convolutional Siamese Autoencoder (CNN-SAE),Technology,https://en.wikipedia.org/wiki/Siamese
Convolutional Autoencoder (CAE),Technology,https://en.wikipedia.org/wiki/Autoencoder
Sparse Autoencoder,Technology,https://en.wikipedia.org/wiki/Sparse
Deep Belief Network (DBN),Technology,https://en.wikipedia.org/wiki/Deep Belief Network
Restricted Boltzmann Machine (RBM),Technology,https://en.wikipedia.org/wiki/Restricted Boltzmann Machine
Hybrid,Technology,https://en.wikipedia.org/wiki/Hybrid
Several Discriminative Models,Technology,https://en.wikipedia.org/wiki/Discriminative
CNN+LSTM,Technology,https://en.wikipedia.org/wiki/CNN
CNN+GRU,Technology,https://en.wikipedia.org/wiki/CNN
Transfer Learning,Technology,https://en.wikipedia.org/wiki/Transfer Learning
Reinforcement Learning,Technology,https://en.wikipedia.org/wiki/Reinforcement Learning
Model-Free RL,Technology,https://en.wikipedia.org/wiki/RL
Policy Optimization,Technology,https://en.wikipedia.org/wiki/Policy
State-Action-Reward-State-Action (SARSA),Technology,https://en.wikipedia.org/wiki/State-Action-Reward-State-Action
Learning Automata,Technology,https://en.wikipedia.org/wiki/Learning Automata
Q-learning,Technology,https://en.wikipedia.org/wiki/Q-learning
Inverse Reinforcement Learning (IRL),Technology,https://en.wikipedia.org/wiki/Inverse Reinforcement Learning
Deep Reinforcement Learning,Technology,https://en.wikipedia.org/wiki/Deep
Deep Q Networks (DQN),Technology,https://en.wikipedia.org/wiki/Deep
Multi-Agent Deep Deterministic Policy Gradient (MADDPG),Technology,https://en.wikipedia.org/wiki/Multi-Agent
Semi-Supervised Learning,Technology,https://en.wikipedia.org/wiki/Semi-Supervised Learning
Active Learning,Technology,https://en.wikipedia.org/wiki/Active Learning
Federated learning,Technology,https://en.wikipedia.org/wiki/Federated
Computer Vision,Technology,https://en.wikipedia.org/wiki/Computer Vision
Open CV,Technology,https://en.wikipedia.org/wiki/Open CV
Tesseract OCR Engine,Technology,https://en.wikipedia.org/wiki/Tesseract OCR
Natural Language Processing Natural Language Generation,Technology,https://en.wikipedia.org/wiki/Natural Language Processing
Ιntelligent Agents and Multiagent Systems,Technology,https://en.wikipedia.org/wiki/Agents
AOS JACK,Technology,https://en.wikipedia.org/wiki/AOS
JADE (Java AgentDevelopment Framework),Technology,https://en.wikipedia.org/wiki/JADE
Soft Computing,Technology,https://en.wikipedia.org/wiki/Soft Computing
Fuzzy Set Theory,Technology,https://en.wikipedia.org/wiki/Fuzzy Set
Adaptive-Neuro-Fuzzy Inference System,Technology,https://en.wikipedia.org/wiki/Adaptive-Neuro-Fuzzy Inference System
Fuzzy Formal Concept Analysis (FCA),Technology,https://en.wikipedia.org/wiki/Fuzzy
Fuzzy Control,Technology,https://en.wikipedia.org/wiki/Fuzzy Control
Fuzzy Cognitive Maps,Technology,https://en.wikipedia.org/wiki/Fuzzy
Neurocomputing,Technology,https://en.wikipedia.org/wiki/Neurocomputing
Artificial Neural Networks (ANN),Technology,https://en.wikipedia.org/wiki/Artificial Neural Networks
Time Delay Neural Network (TDNN),Technology,https://en.wikipedia.org/wiki/Time Delay Neural Network
Optimization Techniques,Technology,https://en.wikipedia.org/wiki/Optimization
Meta-heuristic approaches,Technology,https://en.wikipedia.org/wiki/Meta-heuristic
Evolutionary Computation,Technology,https://en.wikipedia.org/wiki/Evolutionary Computation
Genetic Algorithms,Technology,https://en.wikipedia.org/wiki/Genetic Algorithms
Differential Evolution (DE),Technology,https://en.wikipedia.org/wiki/Differential Evolution
Trajectory-based Algorithms,Technology,https://en.wikipedia.org/wiki/Algorithms
Simulated annealing,Technology,https://en.wikipedia.org/wiki/Simulated annealing
Nature Inspired Algorithms,Technology,https://en.wikipedia.org/wiki/Nature
Fish Swarm Optimization Algorithm,Technology,https://en.wikipedia.org/wiki/Fish
Water Cycle Algorithm (WCA),Technology,https://en.wikipedia.org/wiki/Water Cycle
Grey Wolf Optimizer (GWO),Technology,https://en.wikipedia.org/wiki/Grey Wolf Optimizer
Particle Swarm Optimization (PSO),Technology,https://en.wikipedia.org/wiki/Particle Swarm Optimization
Artificial Bee Colony (ABC),Technology,https://en.wikipedia.org/wiki/Artificial Bee Colony
Simplified Swarm Optimization (SSO),Technology,https://en.wikipedia.org/wiki/Simplified
Quasi-Newton Methods (QNMs),Technology,https://en.wikipedia.org/wiki/Quasi-Newton Methods
L-BFGSB,Technology, 
Probabilistic Reasoning (PR),Technology,https://en.wikipedia.org/wiki/Probabilistic Reasoning
Bayesian Networks (BN),Technology,https://en.wikipedia.org/wiki/Bayesian Networks
Cloud Computing,Technology,https://en.wikipedia.org/wiki/Cloud Computing
Infrastructure as a Service (IaaS),Technology,https://en.wikipedia.org/wiki/Infrastructure as a Service
Cloud Data Storage and Computing,Technology,https://en.wikipedia.org/wiki/Cloud
Firebase Realtime Database,Technology,https://en.wikipedia.org/wiki/Firebase
AWS S3,Technology,https://en.wikipedia.org/wiki/AWS S3
Google Cloud Storage,Technology,https://en.wikipedia.org/wiki/Google Cloud Storage
Microsoft Azure Storage,Technology,https://en.wikipedia.org/wiki/Microsoft Azure
AWS RDS,Technology,https://en.wikipedia.org/wiki/AWS
AWS EC2,Technology,https://en.wikipedia.org/wiki/AWS EC2
Virtual Machines,Technology,https://en.wikipedia.org/wiki/Virtual Machines
Platform as a Service (PaaS),Technology,https://en.wikipedia.org/wiki/Platform  as a Service
Device Management,Technology,https://en.wikipedia.org/wiki/Device Management
Zerynth Device Manager,Technology,https://en.wikipedia.org/wiki/Device Manager
Aws IoT Device Management,Technology,https://en.wikipedia.org/wiki/Aws
Azure IOT Hub,Technology,https://en.wikipedia.org/wiki/Azure
WinCC OA IOT OPA,Technology,https://en.wikipedia.org/wiki/WinCC
Live Objects,Technology,https://en.wikipedia.org/wiki/Live Objects
Operating System,Technology,https://en.wikipedia.org/wiki/Operating System
Siemens MindSphere,Technology,https://en.wikipedia.org/wiki/Siemens
Software as a Service (SaaS),Technology,https://en.wikipedia.org/wiki/Software
Media Streaming Software Platforms,Technology,https://en.wikipedia.org/wiki/Media Streaming
Wowza,Technology, 
Website Building,Technology,https://en.wikipedia.org/wiki/Website
Hostinger,Technology, 
IoT Analytics Software and Platforms,Technology,https://en.wikipedia.org/wiki/IoT
ThingSpeak,Technology,https://en.wikipedia.org/wiki/ThingSpeak
ThingWorx,Technology, 
AllThingsTalk,Technology, 
Infrastructure as Code (IaC),Technology,https://en.wikipedia.org/wiki/Infrastructure as Code
Provisioning Tools,Technology,https://en.wikipedia.org/wiki/Provisioning
Terraform,Technology,https://en.wikipedia.org/wiki/Terraform
Container Technology (Container as a Service),Technology,https://en.wikipedia.org/wiki/Container
Containerization Platform,Technology,https://en.wikipedia.org/wiki/Containerization
Docker,Technology,https://en.wikipedia.org/wiki/Docker
Container Orchestration,Technology,https://en.wikipedia.org/wiki/Container
Kubernetes,Technology,https://en.wikipedia.org/wiki/Kubernetes
Backend as a service (BaaS),Technology,https://en.wikipedia.org/wiki/Backend as a service
Firebase Cloud Messaging,Technology,https://en.wikipedia.org/wiki/Firebase
Serverless Programming,Technology,https://en.wikipedia.org/wiki/Programming
AWS Lambda functions,Technology,https://en.wikipedia.org/wiki/AWS
Azure functions,Technology,https://en.wikipedia.org/wiki/Azure
Apache Openwhisk,Technology,https://en.wikipedia.org/wiki/Apache
Edge Computing,Technology,https://en.wikipedia.org/wiki/Edge Computing
AWS green grass,Technology,https://en.wikipedia.org/wiki/AWS
Azure Edge IoT,Technology,https://en.wikipedia.org/wiki/Azure
Custom solutions based on docker swarm,Technology,https://en.wikipedia.org/wiki/Custom
Multi-access edge computing (MEC),Technology,https://en.wikipedia.org/wiki/edge computing
AWS Wavelength,Technology,https://en.wikipedia.org/wiki/AWS
HARTING MICA WSN 0,Technology,https://en.wikipedia.org/wiki/HARTING
Fog Computing,Technology,https://en.wikipedia.org/wiki/Fog Computing
Transport Layer (Uploading pre-processed data and secured data to cloud),Technology,https://en.wikipedia.org/wiki/Transport Layer
Security Layer (Encryption/Decryption privacy and integrity measures),Technology,https://en.wikipedia.org/wiki/Security
Temporary Storage Layer (Data distribution replication and de-duplication),Technology,https://en.wikipedia.org/wiki/Temporary
Processing Layer (Data analysis Data Filtering Machine Learning; Rules Engines; Cognition),Technology,https://en.wikipedia.org/wiki/Processing
Monitoring Layer (Monitoring of power resource activities service and response),Technology,https://en.wikipedia.org/wiki/Monitoring
Physical and Virtualization Layer (Network of virtual sensors and Things),Technology,https://en.wikipedia.org/wiki/Physical
Hypervisor Technology for embedded systems,Technology,https://en.wikipedia.org/wiki/Hypervisor
PikeOS,Technology,https://en.wikipedia.org/wiki/PikeOS
ACRN,Technology, 
Xen,Technology,https://en.wikipedia.org/wiki/Xen
IoT and IoE,Technology,https://en.wikipedia.org/wiki/IoT
Industrial IoT,Technology,https://en.wikipedia.org/wiki/Industrial
Industrial Communication Protocols,Technology,https://en.wikipedia.org/wiki/Industrial
Point-to-point communication Protocols (IO-Link),Technology,https://en.wikipedia.org/wiki/Point-to-point
Ethernet Protocols (EtherNet/IP;ProfiNET;Modbus;OPC;OPC UA; EtherCAT;MTConnect;Beckhoff ADS protocol),Technology,https://en.wikipedia.org/wiki/Ethernet
Fieldbus Protocols (Profibus DP;Modbus RTU;GSK-Link communication protocol),Technology,https://en.wikipedia.org/wiki/Fieldbus
Wireless Protocols (WirelessHART;WIA-FA;WIA-PA;IO-Link Wireless;ISA 100.11a),Technology,https://en.wikipedia.org/wiki/Protocols
Industrial (IoT) Gateways and Data Acquisition Devices,Technology,https://en.wikipedia.org/wiki/Industrial
Software Data Adapters,Technology,https://en.wikipedia.org/wiki/Software
Apache PLC4X,Technology,https://en.wikipedia.org/wiki/Apache
Eclipse Hono,Technology,https://en.wikipedia.org/wiki/Eclipse
Physical Devices and Controllers,Technology,https://en.wikipedia.org/wiki/Physical
Embedded Computing,Technology,https://en.wikipedia.org/wiki/Embedded Computing
Microcontroller programming and RTOS,Technology,https://en.wikipedia.org/wiki/Microcontroller
Arduino,Technology,https://en.wikipedia.org/wiki/Arduino
STM32,Technology,https://en.wikipedia.org/wiki/STM32
ESP32,Technology, 
FPGA,Technology,https://en.wikipedia.org/wiki/FPGA
MSP430 microcontroller,Technology,https://en.wikipedia.org/wiki/MSP430
Microprocessor programming and embedded Linux,Technology,https://en.wikipedia.org/wiki/Microprocessor
RaspberryPi,Technology,https://en.wikipedia.org/wiki/RaspberryPi
LattePanda,Technology, 
Beagle Bone Blue (BBBlue),Technology,https://en.wikipedia.org/wiki/Beagle
Other SBC,Technology,https://en.wikipedia.org/wiki/SBC
Sensors (hardware),Technology,https://en.wikipedia.org/wiki/Sensors
Kinect Sensor,Technology,https://en.wikipedia.org/wiki/Kinect
Leap Motion,Technology,https://en.wikipedia.org/wiki/Leap Motion
RealSense camera sensor,Technology,https://en.wikipedia.org/wiki/camera sensor
Ultrasonic sensors,Technology,https://en.wikipedia.org/wiki/Ultrasonic
SmartMat Digital Scale,Technology,https://en.wikipedia.org/wiki/Digital Scale
Signal Processing,Technology,https://en.wikipedia.org/wiki/Signal Processing
Software Defined Radio (SDR),Technology,https://en.wikipedia.org/wiki/Software Defined Radio
Blind Source Separation (BSS),Technology,https://en.wikipedia.org/wiki/Blind Source Separation
Connectivity,Technology,https://en.wikipedia.org/wiki/Connectivity
Radio Communication Technologies,Technology,https://en.wikipedia.org/wiki/Radio Communication
Cellular Communications,Technology,https://en.wikipedia.org/wiki/Cellular Communications
LTE/GSM/4G/5G,Technology,https://en.wikipedia.org/wiki/LTE
Multimedia Broadcast Multicast Service (eMBMS),Technology,https://en.wikipedia.org/wiki/Multimedia Broadcast Multicast Service
Group Communication System Enablers (GCSE),Technology,https://en.wikipedia.org/wiki/Group Communication System
Wi-Fi WLAN (wireless local area network),Technology,https://en.wikipedia.org/wiki/Wi-Fi
Short-range wireless,Technology,https://en.wikipedia.org/wiki/Short-range
RFID/NFC,Technology,https://en.wikipedia.org/wiki/RFID
Bluetooth/Bluetooth Low Energy,Technology,https://en.wikipedia.org/wiki/Bluetooth Low Energy
ZigBee,Technology,https://en.wikipedia.org/wiki/ZigBee
6LoWPAN,Technology,https://en.wikipedia.org/wiki/6LoWPAN
Ultra-wideband (UWB),Technology,https://en.wikipedia.org/wiki/Ultra-wideband
Long-range wireless,Technology,https://en.wikipedia.org/wiki/Long-range
LPWAN (Low power wide area network),Technology,https://en.wikipedia.org/wiki/LPWAN
LoRaWan,Technology,https://en.wikipedia.org/wiki/LoRaWan
MIoTy,Technology, 
LTE-M,Technology, 
NB-IoT,Technology, 
Optical Communication Technologies,Technology,https://en.wikipedia.org/wiki/Optical Communication
IoT Messaging Protocols,Technology,https://en.wikipedia.org/wiki/IoT
Message Queuing Telemetry Transport (MQTT),Technology,https://en.wikipedia.org/wiki/Message Queuing Telemetry Transport
Advanced Message Queuing Protocol (AMQP),Technology,https://en.wikipedia.org/wiki/Advanced Message Queuing Protocol
Application Programming Interfaces and Programming Tools,Technology,https://en.wikipedia.org/wiki/Application Programming Interfaces
REST API and Webhook,Technology,https://en.wikipedia.org/wiki/REST API
FIWARE NGSI API,Technology,https://en.wikipedia.org/wiki/FIWARE
Node-Red,Technology,https://en.wikipedia.org/wiki/Node-Red
Real-time Web Frameworks,Technology,https://en.wikipedia.org/wiki/Real-time Web
Socket.io,Technology,https://en.wikipedia.org/wiki/Socket.io
IoE (Internet of Everything),Technology,https://en.wikipedia.org/wiki/IoE
Digital Twins,Technology,https://en.wikipedia.org/wiki/Digital Twins
Computer-aided design (CAD) Software,Technology,https://en.wikipedia.org/wiki/Computer-aided design
Dassault Catia CAD suite,Technology,https://en.wikipedia.org/wiki/Dassault
Dassault Systèmes’ SolidWorks,Technology,https://en.wikipedia.org/wiki/Dassault Systèmes
Siemens NX,Technology,https://en.wikipedia.org/wiki/Siemens NX
Finite Element Analysis (FEA) Software,Technology,https://en.wikipedia.org/wiki/Finite Element Analysis
Xcos,Technology,https://en.wikipedia.org/wiki/Xcos
CREO Simulate,Technology,https://en.wikipedia.org/wiki/CREO
Simulation software,Technology,https://en.wikipedia.org/wiki/Simulation software
SimulationX,Technology,https://en.wikipedia.org/wiki/SimulationX
Xcelgo’s Experior,Technology, 
Tecnomatix Plant Simulation,Technology,https://en.wikipedia.org/wiki/Tecnomatix
FlexSim,Technology,https://en.wikipedia.org/wiki/FlexSim
SimPy,Technology,https://en.wikipedia.org/wiki/SimPy
SIMIT simulation platform,Technology,https://en.wikipedia.org/wiki/SIMIT
Emulate3D,Technology, 
FastSuite,Technology, 
CIROS Studio,Technology,https://en.wikipedia.org/wiki/Studio
AutoMod,Technology, 
1 Anylogic Simulation,Technology,https://en.wikipedia.org/wiki/Anylogic
1 RF :: Suite,Technology,https://en.wikipedia.org/wiki/RF
1 S7-PLCSIM Advanced,Technology,https://en.wikipedia.org/wiki/Advanced
1 Automation Studio,Technology,https://en.wikipedia.org/wiki/Automation Studio
1 OpenSimulator,Technology,https://en.wikipedia.org/wiki/OpenSimulator
1 Dassault Dymola,Technology,https://en.wikipedia.org/wiki/Dassault
1 DynSOx,Technology, 
1 ClearView Ammonia,Technology,https://en.wikipedia.org/wiki/ClearView
1 COMSOL,Technology,https://en.wikipedia.org/wiki/COMSOL
20. MSC ADAMS,Technology,https://en.wikipedia.org/wiki/MSC ADAMS
2 Ansys,Technology,https://en.wikipedia.org/wiki/Ansys
DTs management and Orchestration Framework,Technology,https://en.wikipedia.org/wiki/DTs
Eclipse Ditto,Technology,https://en.wikipedia.org/wiki/Eclipse
Digital Twin Data Modelling,Technology,https://en.wikipedia.org/wiki/Digital
AutomationML,Technology,https://en.wikipedia.org/wiki/AutomationML
Virtual Process Controllers (VPC),Technology,https://en.wikipedia.org/wiki/Virtual
Industrial Robotics,Technology,https://en.wikipedia.org/wiki/Industrial Robotics
